0.00.037.047 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.853 W srv  llama_server: -----------------
0.00.038.855 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.856 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.856 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.856 W srv  llama_server: -----------------
0.00.040.850 I srv    load_model: loading model 'models/rival/Qwen3.5-35B-A3B-UD-IQ3_S.gguf'
0.05.978.701 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.998.934 I srv  llama_server: model loaded
0.05.998.937 I srv  llama_server: listening on http://127.0.0.1:8087
0.10.259.454 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.16.437.315 I slot      release: id  2 | task 7878 | stop processing: n_tokens = 729, truncated = 0
3.16.438.751 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.988 (> 0.100 thold), f_keep = 1.000
3.16.438.764 I slot launch_slot_: id  2 | task 8480 | processing task, is_child = 0
3.16.542.730 I slot print_timing: id  2 | task 8480 | prompt eval time =      84.50 ms /     9 tokens (    9.39 ms per token,   106.51 tokens per second)
3.16.542.734 I slot print_timing: id  2 | task 8480 |        eval time =      19.45 ms /     2 tokens (    9.72 ms per token,   102.85 tokens per second)
3.16.542.734 I slot print_timing: id  2 | task 8480 |       total time =     103.94 ms /    11 tokens
3.16.542.735 I slot print_timing: id  2 | task 8480 |    graphs reused =       8345
3.16.542.766 I slot      release: id  2 | task 8480 | stop processing: n_tokens = 739, truncated = 0
3.16.543.747 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 11488234843
3.16.543.762 I slot launch_slot_: id  1 | task 8484 | processing task, is_child = 0
3.19.826.551 I slot print_timing: id  1 | task 8484 | n_decoded =    141, tg =  46.78 t/s, tg_3s =  46.78 t/s
3.22.832.416 I slot print_timing: id  1 | task 8484 | n_decoded =    294, tg =  48.84 t/s, tg_3s =  50.90 t/s
3.25.848.460 I slot print_timing: id  1 | task 8484 | n_decoded =    441, tg =  48.81 t/s, tg_3s =  48.74 t/s
3.28.866.551 I slot print_timing: id  1 | task 8484 | n_decoded =    561, tg =  46.54 t/s, tg_3s =  39.76 t/s
3.29.790.398 I slot print_timing: id  1 | task 8484 | prompt eval time =     239.11 ms /    60 tokens (    3.99 ms per token,   250.93 tokens per second)
3.29.790.410 I slot print_timing: id  1 | task 8484 |        eval time =   12977.81 ms /   600 tokens (   21.63 ms per token,    46.23 tokens per second)
3.29.790.415 I slot print_timing: id  1 | task 8484 |       total time =   13216.92 ms /   660 tokens
3.29.790.417 I slot print_timing: id  1 | task 8484 |    graphs reused =       8941
3.29.790.475 I slot      release: id  1 | task 8484 | stop processing: n_tokens = 659, truncated = 0
3.29.799.769 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
3.29.799.843 I slot launch_slot_: id  1 | task 9086 | processing task, is_child = 0
3.29.941.919 I slot print_timing: id  1 | task 9086 | prompt eval time =     119.55 ms /     9 tokens (   13.28 ms per token,    75.28 tokens per second)
3.29.941.923 I slot print_timing: id  1 | task 9086 |        eval time =      22.45 ms /     2 tokens (   11.23 ms per token,    89.07 tokens per second)
3.29.941.923 I slot print_timing: id  1 | task 9086 |       total time =     142.00 ms /    11 tokens
3.29.941.924 I slot print_timing: id  1 | task 9086 |    graphs reused =       8941
3.29.941.958 I slot      release: id  1 | task 9086 | stop processing: n_tokens = 669, truncated = 0
3.29.943.124 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11501669804
3.29.943.140 I slot launch_slot_: id  0 | task 9090 | processing task, is_child = 0
3.33.276.686 I slot print_timing: id  0 | task 9090 | n_decoded =    161, tg =  53.26 t/s, tg_3s =  53.26 t/s
3.36.287.661 I slot print_timing: id  0 | task 9090 | n_decoded =    298, tg =  49.39 t/s, tg_3s =  45.50 t/s
3.39.302.922 I slot print_timing: id  0 | task 9090 | n_decoded =    422, tg =  46.64 t/s, tg_3s =  41.12 t/s
3.42.311.793 I slot print_timing: id  0 | task 9090 | n_decoded =    554, tg =  45.95 t/s, tg_3s =  43.87 t/s
3.43.156.050 I slot print_timing: id  0 | task 9090 | prompt eval time =     271.84 ms /    71 tokens (    3.83 ms per token,   261.18 tokens per second)
3.43.156.056 I slot print_timing: id  0 | task 9090 |        eval time =   12902.07 ms /   600 tokens (   21.50 ms per token,    46.50 tokens per second)
3.43.156.056 I slot print_timing: id  0 | task 9090 |       total time =   13173.91 ms /   671 tokens
3.43.156.056 I slot print_timing: id  0 | task 9090 |    graphs reused =       9537
3.43.156.074 I slot      release: id  0 | task 9090 | stop processing: n_tokens = 670, truncated = 0
3.43.157.826 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
3.43.157.840 I slot launch_slot_: id  0 | task 9692 | processing task, is_child = 0
3.43.263.334 I slot print_timing: id  0 | task 9692 | prompt eval time =      86.01 ms /     9 tokens (    9.56 ms per token,   104.64 tokens per second)
3.43.263.338 I slot print_timing: id  0 | task 9692 |        eval time =      19.46 ms /     2 tokens (    9.73 ms per token,   102.76 tokens per second)
3.43.263.338 I slot print_timing: id  0 | task 9692 |       total time =     105.47 ms /    11 tokens
3.43.263.339 I slot print_timing: id  0 | task 9692 |    graphs reused =       9537
3.43.263.373 I slot      release: id  0 | task 9692 | stop processing: n_tokens = 680, truncated = 0
3.43.264.389 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 11513792780
3.43.264.403 I slot launch_slot_: id  3 | task 9696 | processing task, is_child = 0
3.46.546.976 I slot print_timing: id  3 | task 9696 | n_decoded =    161, tg =  53.53 t/s, tg_3s =  53.53 t/s
3.49.563.665 I slot print_timing: id  3 | task 9696 | n_decoded =    291, tg =  48.30 t/s, tg_3s =  43.09 t/s
3.52.600.523 I slot print_timing: id  3 | task 9696 | n_decoded =    434, tg =  47.90 t/s, tg_3s =  47.09 t/s
3.54.224.868 I slot print_timing: id  3 | task 9696 | prompt eval time =     246.01 ms /    60 tokens (    4.10 ms per token,   243.89 tokens per second)
3.54.224.874 I slot print_timing: id  3 | task 9696 |        eval time =   10685.61 ms /   495 tokens (   21.59 ms per token,    46.32 tokens per second)
3.54.224.875 I slot print_timing: id  3 | task 9696 |       total time =   10931.63 ms /   555 tokens
3.54.224.876 I slot print_timing: id  3 | task 9696 |    graphs reused =      10028
3.54.224.892 I slot      release: id  3 | task 9696 | stop processing: n_tokens = 554, truncated = 0
3.54.226.710 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.986 (> 0.100 thold), f_keep = 0.998
3.54.226.738 I slot launch_slot_: id  3 | task 10193 | processing task, is_child = 0
3.54.963.544 I slot print_timing: id  3 | task 10193 | prompt eval time =     716.35 ms /   505 tokens (    1.42 ms per token,   704.97 tokens per second)
3.54.963.547 I slot print_timing: id  3 | task 10193 |        eval time =      20.44 ms /     2 tokens (   10.22 ms per token,    97.86 tokens per second)
3.54.963.547 I slot print_timing: id  3 | task 10193 |       total time =     736.78 ms /   507 tokens
3.54.963.548 I slot print_timing: id  3 | task 10193 |    graphs reused =      10028
3.54.963.573 I slot      release: id  3 | task 10193 | stop processing: n_tokens = 562, truncated = 0
3.54.964.475 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 11526053565
3.54.964.488 I slot launch_slot_: id  2 | task 10197 | processing task, is_child = 0
3.58.264.159 I slot print_timing: id  2 | task 10197 | n_decoded =    157, tg =  52.29 t/s, tg_3s =  52.29 t/s
4.01.280.607 I slot print_timing: id  2 | task 10197 | n_decoded =    318, tg =  52.83 t/s, tg_3s =  53.37 t/s
4.04.315.895 I slot print_timing: id  2 | task 10197 | n_decoded =    442, tg =  48.82 t/s, tg_3s =  40.85 t/s
4.07.325.169 I slot print_timing: id  2 | task 10197 | n_decoded =    570, tg =  47.25 t/s, tg_3s =  42.53 t/s
4.08.002.006 I slot print_timing: id  2 | task 10197 | prompt eval time =     269.00 ms /    75 tokens (    3.59 ms per token,   278.81 tokens per second)
4.08.002.010 I slot print_timing: id  2 | task 10197 |        eval time =   12740.29 ms /   600 tokens (   21.23 ms per token,    47.09 tokens per second)
4.08.002.010 I slot print_timing: id  2 | task 10197 |       total time =   13009.29 ms /   675 tokens
4.08.002.011 I slot print_timing: id  2 | task 10197 |    graphs reused =      10624
4.08.002.031 I slot      release: id  2 | task 10197 | stop processing: n_tokens = 674, truncated = 0
4.08.003.559 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
4.08.003.574 I slot launch_slot_: id  2 | task 10799 | processing task, is_child = 0
4.08.123.048 I slot print_timing: id  2 | task 10799 | prompt eval time =      96.49 ms /     9 tokens (   10.72 ms per token,    93.28 tokens per second)
4.08.123.051 I slot print_timing: id  2 | task 10799 |        eval time =      22.97 ms /     2 tokens (   11.48 ms per token,    87.09 tokens per second)
4.08.123.051 I slot print_timing: id  2 | task 10799 |       total time =     119.45 ms /    11 tokens
4.08.123.051 I slot print_timing: id  2 | task 10799 |    graphs reused =      10624
4.08.123.079 I slot      release: id  2 | task 10799 | stop processing: n_tokens = 684, truncated = 0
4.08.124.096 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 11539452757
4.08.124.110 I slot launch_slot_: id  1 | task 10803 | processing task, is_child = 0
4.11.454.619 I slot print_timing: id  1 | task 10803 | n_decoded =    114, tg =  37.86 t/s, tg_3s =  37.86 t/s
4.14.468.062 I slot print_timing: id  1 | task 10803 | n_decoded =    229, tg =  38.01 t/s, tg_3s =  38.16 t/s
4.17.473.425 I slot print_timing: id  1 | task 10803 | n_decoded =    344, tg =  38.10 t/s, tg_3s =  38.26 t/s
4.20.493.289 I slot print_timing: id  1 | task 10803 | n_decoded =    458, tg =  38.01 t/s, tg_3s =  37.75 t/s
4.23.504.723 I slot print_timing: id  1 | task 10803 | n_decoded =    579, tg =  38.44 t/s, tg_3s =  40.18 t/s
4.23.995.680 I slot print_timing: id  1 | task 10803 | prompt eval time =     287.64 ms /    65 tokens (    4.43 ms per token,   225.98 tokens per second)
4.23.995.688 I slot print_timing: id  1 | task 10803 |        eval time =   15551.88 ms /   600 tokens (   25.92 ms per token,    38.58 tokens per second)
4.23.995.689 I slot print_timing: id  1 | task 10803 |       total time =   15839.52 ms /   665 tokens
4.23.995.703 I slot print_timing: id  1 | task 10803 |    graphs reused =      11220
4.23.995.726 I slot      release: id  1 | task 10803 | stop processing: n_tokens = 664, truncated = 0
4.23.998.253 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
4.23.998.278 I slot launch_slot_: id  1 | task 11405 | processing task, is_child = 0
4.24.117.679 I slot print_timing: id  1 | task 11405 | prompt eval time =      93.24 ms /     9 tokens (   10.36 ms per token,    96.52 tokens per second)
4.24.117.685 I slot print_timing: id  1 | task 11405 |        eval time =      26.11 ms /     2 tokens (   13.06 ms per token,    76.58 tokens per second)
4.24.117.686 I slot print_timing: id  1 | task 11405 |       total time =     119.36 ms /    11 tokens
4.24.117.687 I slot print_timing: id  1 | task 11405 |    graphs reused =      11220
4.24.117.733 I slot      release: id  1 | task 11405 | stop processing: n_tokens = 674, truncated = 0
4.24.119.233 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11552774172
4.24.119.255 I slot launch_slot_: id  0 | task 11409 | processing task, is_child = 0
4.27.511.300 I slot print_timing: id  0 | task 11409 | n_decoded =    126, tg =  41.76 t/s, tg_3s =  41.76 t/s
4.30.516.436 I slot print_timing: id  0 | task 11409 | n_decoded =    240, tg =  39.85 t/s, tg_3s =  37.94 t/s
4.33.543.772 I slot print_timing: id  0 | task 11409 | n_decoded =    340, tg =  37.57 t/s, tg_3s =  33.03 t/s
4.36.563.150 I slot print_timing: id  0 | task 11409 | n_decoded =    449, tg =  37.20 t/s, tg_3s =  36.10 t/s
4.39.579.822 I slot print_timing: id  0 | task 11409 | n_decoded =    581, tg =  38.51 t/s, tg_3s =  43.76 t/s
4.39.996.167 I slot print_timing: id  0 | task 11409 | prompt eval time =     326.92 ms /   102 tokens (    3.21 ms per token,   312.00 tokens per second)
4.39.996.172 I slot print_timing: id  0 | task 11409 |        eval time =   15502.02 ms /   600 tokens (   25.84 ms per token,    38.70 tokens per second)
4.39.996.173 I slot print_timing: id  0 | task 11409 |       total time =   15828.94 ms /   702 tokens
4.39.996.174 I slot print_timing: id  0 | task 11409 |    graphs reused =      11816
4.39.996.198 I slot      release: id  0 | task 11409 | stop processing: n_tokens = 701, truncated = 0
4.39.997.815 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
4.39.997.832 I slot launch_slot_: id  0 | task 12011 | processing task, is_child = 0
4.40.137.946 I slot print_timing: id  0 | task 12011 | prompt eval time =     113.61 ms /     9 tokens (   12.62 ms per token,    79.22 tokens per second)
4.40.137.949 I slot print_timing: id  0 | task 12011 |        eval time =      26.49 ms /     2 tokens (   13.24 ms per token,    75.51 tokens per second)
4.40.137.949 I slot print_timing: id  0 | task 12011 |       total time =     140.10 ms /    11 tokens
4.40.137.950 I slot print_timing: id  0 | task 12011 |    graphs reused =      11816
4.40.137.982 I slot      release: id  0 | task 12011 | stop processing: n_tokens = 711, truncated = 0
4.40.139.015 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 11564474372
4.40.139.032 I slot launch_slot_: id  3 | task 12015 | processing task, is_child = 0
4.43.680.383 I slot print_timing: id  3 | task 12015 | n_decoded =    100, tg =  33.15 t/s, tg_3s =  33.15 t/s
4.46.704.897 I slot print_timing: id  3 | task 12015 | n_decoded =    227, tg =  37.58 t/s, tg_3s =  41.99 t/s
4.49.726.989 I slot print_timing: id  3 | task 12015 | n_decoded =    347, tg =  38.29 t/s, tg_3s =  39.71 t/s
4.52.732.714 I slot print_timing: id  3 | task 12015 | n_decoded =    461, tg =  38.20 t/s, tg_3s =  37.93 t/s
4.55.743.231 I slot print_timing: id  3 | task 12015 | n_decoded =    579, tg =  38.40 t/s, tg_3s =  39.20 t/s
4.56.228.414 I slot print_timing: id  3 | task 12015 | prompt eval time =     494.93 ms /   104 tokens (    4.76 ms per token,   210.13 tokens per second)
4.56.228.417 I slot print_timing: id  3 | task 12015 |        eval time =   15564.56 ms /   600 tokens (   25.94 ms per token,    38.55 tokens per second)
4.56.228.418 I slot print_timing: id  3 | task 12015 |       total time =   16059.48 ms /   704 tokens
4.56.228.418 I slot print_timing: id  3 | task 12015 |    graphs reused =      12412
4.56.228.431 I slot      release: id  3 | task 12015 | stop processing: n_tokens = 703, truncated = 0
4.56.230.232 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
4.56.230.245 I slot launch_slot_: id  3 | task 12617 | processing task, is_child = 0
4.56.368.843 I slot print_timing: id  3 | task 12617 | prompt eval time =     113.45 ms /     9 tokens (   12.61 ms per token,    79.33 tokens per second)
4.56.368.846 I slot print_timing: id  3 | task 12617 |        eval time =      25.13 ms /     2 tokens (   12.57 ms per token,    79.58 tokens per second)
4.56.368.847 I slot print_timing: id  3 | task 12617 |       total time =     138.58 ms /    11 tokens
4.56.368.847 I slot print_timing: id  3 | task 12617 |    graphs reused =      12412
4.56.368.885 I slot      release: id  3 | task 12617 | stop processing: n_tokens = 713, truncated = 0
4.56.369.937 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 11577633878
4.56.369.955 I slot launch_slot_: id  2 | task 12621 | processing task, is_child = 0
4.59.852.384 I slot print_timing: id  2 | task 12621 | n_decoded =    116, tg =  38.57 t/s, tg_3s =  38.57 t/s
5.02.871.282 I slot print_timing: id  2 | task 12621 | n_decoded =    218, tg =  36.17 t/s, tg_3s =  33.79 t/s
5.05.874.673 I slot print_timing: id  2 | task 12621 | n_decoded =    332, tg =  36.77 t/s, tg_3s =  37.96 t/s
5.08.886.795 I slot print_timing: id  2 | task 12621 | n_decoded =    464, tg =  38.53 t/s, tg_3s =  43.82 t/s
5.11.902.407 I slot print_timing: id  2 | task 12621 | n_decoded =    553, tg =  36.72 t/s, tg_3s =  29.51 t/s
5.13.100.423 I slot print_timing: id  2 | task 12621 | prompt eval time =     443.70 ms /   105 tokens (    4.23 ms per token,   236.65 tokens per second)
5.13.100.429 I slot print_timing: id  2 | task 12621 |        eval time =   16255.89 ms /   600 tokens (   27.09 ms per token,    36.91 tokens per second)
5.13.100.430 I slot print_timing: id  2 | task 12621 |       total time =   16699.59 ms /   705 tokens
5.13.100.430 I slot print_timing: id  2 | task 12621 |    graphs reused =      13008
5.13.100.450 I slot      release: id  2 | task 12621 | stop processing: n_tokens = 704, truncated = 0
5.13.101.953 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
5.13.101.965 I slot launch_slot_: id  2 | task 13223 | processing task, is_child = 0
5.13.238.444 I slot print_timing: id  2 | task 13223 | prompt eval time =     111.30 ms /     9 tokens (   12.37 ms per token,    80.87 tokens per second)
5.13.238.448 I slot print_timing: id  2 | task 13223 |        eval time =      25.17 ms /     2 tokens (   12.58 ms per token,    79.47 tokens per second)
5.13.238.449 I slot print_timing: id  2 | task 13223 |       total time =     136.46 ms /    11 tokens
5.13.238.449 I slot print_timing: id  2 | task 13223 |    graphs reused =      13008
5.13.238.476 I slot      release: id  2 | task 13223 | stop processing: n_tokens = 714, truncated = 0
5.13.239.676 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 11593628532
5.13.239.694 I slot launch_slot_: id  1 | task 13227 | processing task, is_child = 0
5.16.671.181 I slot print_timing: id  1 | task 13227 | n_decoded =    132, tg =  43.95 t/s, tg_3s =  43.95 t/s
5.19.681.382 I slot print_timing: id  1 | task 13227 | n_decoded =    248, tg =  41.24 t/s, tg_3s =  38.54 t/s
5.22.698.646 I slot print_timing: id  1 | task 13227 | n_decoded =    368, tg =  40.75 t/s, tg_3s =  39.77 t/s
5.25.701.751 I slot print_timing: id  1 | task 13227 | n_decoded =    490, tg =  40.72 t/s, tg_3s =  40.62 t/s
5.28.397.285 I slot print_timing: id  1 | task 13227 | prompt eval time =     399.30 ms /    96 tokens (    4.16 ms per token,   240.42 tokens per second)
5.28.397.288 I slot print_timing: id  1 | task 13227 |        eval time =   14729.37 ms /   600 tokens (   24.55 ms per token,    40.73 tokens per second)
5.28.397.288 I slot print_timing: id  1 | task 13227 |       total time =   15128.67 ms /   696 tokens
5.28.397.289 I slot print_timing: id  1 | task 13227 |    graphs reused =      13604
5.28.397.307 I slot      release: id  1 | task 13227 | stop processing: n_tokens = 695, truncated = 0
5.28.398.925 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.989 (> 0.100 thold), f_keep = 1.000
5.28.398.938 I slot launch_slot_: id  1 | task 13829 | processing task, is_child = 0
5.28.536.555 I slot print_timing: id  1 | task 13829 | prompt eval time =     111.06 ms /     8 tokens (   13.88 ms per token,    72.03 tokens per second)
5.28.536.558 I slot print_timing: id  1 | task 13829 |        eval time =      26.54 ms /     2 tokens (   13.27 ms per token,    75.37 tokens per second)
5.28.536.558 I slot print_timing: id  1 | task 13829 |       total time =     137.60 ms /    10 tokens
5.28.536.559 I slot print_timing: id  1 | task 13829 |    graphs reused =      13604
5.28.536.586 I slot      release: id  1 | task 13829 | stop processing: n_tokens = 704, truncated = 0
5.28.537.615 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11609648781
5.28.537.630 I slot launch_slot_: id  0 | task 13833 | processing task, is_child = 0
5.31.930.727 I slot print_timing: id  0 | task 13833 | n_decoded =    119, tg =  39.49 t/s, tg_3s =  39.49 t/s
5.34.946.264 I slot print_timing: id  0 | task 13833 | n_decoded =    223, tg =  36.99 t/s, tg_3s =  34.49 t/s
5.37.970.652 I slot print_timing: id  0 | task 13833 | n_decoded =    335, tg =  37.00 t/s, tg_3s =  37.03 t/s
5.40.987.353 I slot print_timing: id  0 | task 13833 | n_decoded =    491, tg =  40.68 t/s, tg_3s =  51.71 t/s
5.44.014.017 I slot print_timing: id  0 | task 13833 | n_decoded =    597, tg =  39.55 t/s, tg_3s =  35.02 t/s
5.44.108.295 I slot print_timing: id  0 | task 13833 | prompt eval time =     352.48 ms /    62 tokens (    5.69 ms per token,   175.90 tokens per second)
5.44.108.297 I slot print_timing: id  0 | task 13833 |        eval time =   15190.96 ms /   600 tokens (   25.32 ms per token,    39.50 tokens per second)
5.44.108.298 I slot print_timing: id  0 | task 13833 |       total time =   15543.44 ms /   662 tokens
5.44.108.298 I slot print_timing: id  0 | task 13833 |    graphs reused =      14200
5.44.108.313 I slot      release: id  0 | task 13833 | stop processing: n_tokens = 661, truncated = 0
5.44.109.905 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
5.44.109.922 I slot launch_slot_: id  0 | task 14435 | processing task, is_child = 0
5.44.289.712 I slot print_timing: id  0 | task 14435 | prompt eval time =     148.51 ms /     9 tokens (   16.50 ms per token,    60.60 tokens per second)
5.44.289.715 I slot print_timing: id  0 | task 14435 |        eval time =      31.26 ms /     2 tokens (   15.63 ms per token,    63.98 tokens per second)
5.44.289.716 I slot print_timing: id  0 | task 14435 |       total time =     179.77 ms /    11 tokens
5.44.289.716 I slot print_timing: id  0 | task 14435 |    graphs reused =      14200
5.44.289.743 I slot      release: id  0 | task 14435 | stop processing: n_tokens = 671, truncated = 0
5.44.290.702 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 11625879684
5.44.290.715 I slot launch_slot_: id  3 | task 14439 | processing task, is_child = 0
5.47.789.961 I slot print_timing: id  3 | task 14439 | n_decoded =    136, tg =  45.25 t/s, tg_3s =  45.25 t/s
5.50.806.530 I slot print_timing: id  3 | task 14439 | n_decoded =    276, tg =  45.83 t/s, tg_3s =  46.41 t/s
5.53.823.546 I slot print_timing: id  3 | task 14439 | n_decoded =    395, tg =  43.70 t/s, tg_3s =  39.44 t/s
5.56.827.560 I slot print_timing: id  3 | task 14439 | n_decoded =    513, tg =  42.60 t/s, tg_3s =  39.28 t/s
5.58.589.775 I slot print_timing: id  3 | task 14439 | prompt eval time =     463.82 ms /    78 tokens (    5.95 ms per token,   168.17 tokens per second)
5.58.589.781 I slot print_timing: id  3 | task 14439 |        eval time =   13805.28 ms /   600 tokens (   23.01 ms per token,    43.46 tokens per second)
5.58.589.782 I slot print_timing: id  3 | task 14439 |       total time =   14269.09 ms /   678 tokens
5.58.589.782 I slot print_timing: id  3 | task 14439 |    graphs reused =      14796
5.58.589.801 I slot      release: id  3 | task 14439 | stop processing: n_tokens = 677, truncated = 0
5.58.592.533 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
5.58.592.555 I slot launch_slot_: id  3 | task 15041 | processing task, is_child = 0
5.58.703.957 I slot print_timing: id  3 | task 15041 | prompt eval time =      90.37 ms /     9 tokens (   10.04 ms per token,    99.59 tokens per second)
5.58.703.960 I slot print_timing: id  3 | task 15041 |        eval time =      21.01 ms /     2 tokens (   10.51 ms per token,    95.19 tokens per second)
5.58.703.960 I slot print_timing: id  3 | task 15041 |       total time =     111.38 ms /    11 tokens
5.58.703.961 I slot print_timing: id  3 | task 15041 |    graphs reused =      14796
5.58.703.994 I slot      release: id  3 | task 15041 | stop processing: n_tokens = 687, truncated = 0
5.58.705.008 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 11642749275
5.58.705.021 I slot launch_slot_: id  2 | task 15045 | processing task, is_child = 0
6.02.025.316 I slot print_timing: id  2 | task 15045 | n_decoded =    101, tg =  33.58 t/s, tg_3s =  33.58 t/s
6.05.028.299 I slot print_timing: id  2 | task 15045 | n_decoded =    219, tg =  36.43 t/s, tg_3s =  39.29 t/s
6.08.037.432 I slot print_timing: id  2 | task 15045 | n_decoded =    317, tg =  35.14 t/s, tg_3s =  32.57 t/s
6.11.049.111 I slot print_timing: id  2 | task 15045 | n_decoded =    478, tg =  39.73 t/s, tg_3s =  53.46 t/s
6.13.883.632 I slot print_timing: id  2 | task 15045 | prompt eval time =     278.57 ms /    74 tokens (    3.76 ms per token,   265.64 tokens per second)
6.13.883.637 I slot print_timing: id  2 | task 15045 |        eval time =   14866.47 ms /   600 tokens (   24.78 ms per token,    40.36 tokens per second)
6.13.883.638 I slot print_timing: id  2 | task 15045 |       total time =   15145.04 ms /   674 tokens
6.13.883.638 I slot print_timing: id  2 | task 15045 |    graphs reused =      15392
6.13.883.655 I slot      release: id  2 | task 15045 | stop processing: n_tokens = 673, truncated = 0
6.13.885.443 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
6.13.885.455 I slot launch_slot_: id  2 | task 15647 | processing task, is_child = 0
6.13.990.037 I slot print_timing: id  2 | task 15647 | prompt eval time =      85.11 ms /     9 tokens (    9.46 ms per token,   105.75 tokens per second)
6.13.990.040 I slot print_timing: id  2 | task 15647 |        eval time =      19.45 ms /     2 tokens (    9.73 ms per token,   102.82 tokens per second)
6.13.990.040 I slot print_timing: id  2 | task 15647 |       total time =     104.56 ms /    11 tokens
6.13.990.041 I slot print_timing: id  2 | task 15647 |    graphs reused =      15392
6.13.990.076 I slot      release: id  2 | task 15647 | stop processing: n_tokens = 683, truncated = 0
6.13.990.998 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 11658047385
6.13.991.015 I slot launch_slot_: id  1 | task 15651 | processing task, is_child = 0
6.17.321.002 I slot print_timing: id  1 | task 15651 | n_decoded =    113, tg =  37.41 t/s, tg_3s =  37.41 t/s
6.20.328.416 I slot print_timing: id  1 | task 15651 | n_decoded =    230, tg =  38.15 t/s, tg_3s =  38.90 t/s
6.23.336.950 I slot print_timing: id  1 | task 15651 | n_decoded =    353, tg =  39.06 t/s, tg_3s =  40.88 t/s
6.26.346.877 I slot print_timing: id  1 | task 15651 | n_decoded =    480, tg =  39.85 t/s, tg_3s =  42.19 t/s
6.29.235.568 I slot print_timing: id  1 | task 15651 | prompt eval time =     277.72 ms /    82 tokens (    3.39 ms per token,   295.26 tokens per second)
6.29.235.575 I slot print_timing: id  1 | task 15651 |        eval time =   14935.31 ms /   600 tokens (   24.89 ms per token,    40.17 tokens per second)
6.29.235.576 I slot print_timing: id  1 | task 15651 |       total time =   15213.03 ms /   682 tokens
6.29.235.577 I slot print_timing: id  1 | task 15651 |    graphs reused =      15988
6.29.235.621 I slot      release: id  1 | task 15651 | stop processing: n_tokens = 681, truncated = 0
6.29.238.113 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
6.29.238.141 I slot launch_slot_: id  1 | task 16253 | processing task, is_child = 0
6.29.354.414 I slot print_timing: id  1 | task 16253 | prompt eval time =      94.60 ms /     9 tokens (   10.51 ms per token,    95.13 tokens per second)
6.29.354.419 I slot print_timing: id  1 | task 16253 |        eval time =      21.63 ms /     2 tokens (   10.82 ms per token,    92.46 tokens per second)
6.29.354.421 I slot print_timing: id  1 | task 16253 |       total time =     116.23 ms /    11 tokens
6.29.354.422 I slot print_timing: id  1 | task 16253 |    graphs reused =      15988
6.29.354.468 I slot      release: id  1 | task 16253 | stop processing: n_tokens = 691, truncated = 0
